name,price,timestamp,rating,num_reviews,image_url,link,avg_acne,avg_irritant,avg_safety
es micro balancing cleanser,,2024-05-09 22:46:37.186780,,0,,,0.0,0.0,1.2
gentle clear complexion-clearing bpo acne cleanser,9.47,2024-05-06 13:10:33.270417,4.5,506,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIAFMAUwMBEQACEQEDEQH/xAAbAAACAwEBAQAAAAAAAAAAAAAABQIDBgcEAf/EAEAQAAIBAwIEAwMHBw0AAAAAAAECAwAEEQUhBhIxQSJRcRNSkSNCYYGhscEHFBUkMtHxM0NEU2JjZHJzkqLh8P/EABoBAQADAQEBAAAAAAAAAAAAAAACAwQFBgH/xAAxEQACAQIFAgUCBAcAAAAAAAAAAQIDEQQSITFBUZEFYXGBoRMiFDKx8RVSYsHR4fD/2gAMAwEAAhEDEQA/AO4cy+Y+NAGR5igDI8xQBkeYoAyPMUB9oCm8uobK1lublwkUS8zsewr42krsnCEqklCKu2c44i4vvvz5ULPaWfiDxKeWTO3KSwOTnPzSMb56b5Z1ne2yPR4LwulKk2vulw+PPfb3Xpvpm4OI3S+M7S3fJ7ERIgmZeU7eMkMSTsfjVSqa3OrPwy9LKkr3vsu1raI2Wg8ZMsn65MstizhFkJ+UiHvOcAEZwNsnJ+qr4VuuxwsV4VZfYrT3tw/JbvbXhG+UhgCDsa0nBFbRnmO/egPnsaAiyctAfFTNARug0UDOrYIxgj1FAOYzlFJ8qAyXH+pW9ollbXUnLHOzty8pIkIAAUgDpls9twN6prSSsmdbwrDVKrnOmr5be1+V27Mwb6Ijq15qUziN4xJCtsccq5TKkMvuyDHLkZBrNkW8j0UMc1alQWt7O/L110fVO99bWK5eFSt40CajbBTMI0Lq+fEXC82Fx1jYHHr0r59PW1yyPi16eZ03td7cJN8+asTj0ifTLJr+LUrOWB4+cCORxzpnHNtgncEFfIH0r7kcVmuQnjIYioqUqbUk+baPpzxrf9zc8PcUwLo9srMJuUFQ6qUBAYgbHcYG31VfGqkrHn8X4bP60tLfPyaWQYdvWtBxiNAVS9aAIutAVahvake86D/kKAcqMKB5CgMnx9p7XMdpOJGjRC0MjKAcB8EZyOnMqjO3XrVFaN0mdbwquqcpRtfZr29PJt8+hz5Ne1DTphZys5CvyZaZx4c4wfEBttv/AGRvWdTktD0f8PoYiH1Y/ot+19f7ja51RIiXh16KUJlwvtW8TcrH+s8wOnc/TVjl5mCnhJy0lRav5Lqv6RLa3c+qq9ph4LMFnnETyNnm67ZPc52HWqlJy0OjVowwrVS+aeiV7Lbt0tq9joOg8NC40mCe8mZ5ZOZuYoFJUseU4Gw8OK0QpJxuzzmKx7jWcaasl539fk0048ZrQcc5nrnGOsS3MsGhrCCjOPEN8KeUnccvUY3Yb9sb1Chha1T7688q4St7XevwjPKpJ/lEkmscdi4KvfR4DlAT7EISM9NskeEn03ro/ToZbFd6r5NPwRxFq91rDaTrixNMbb24ZAMqM4wcbdc/vPbPVpxirxehOlOopZZam0vR8nAPenUfYT+FUmkb0BVc28dzA8MyhkcYYUavoSjJweaO5z/XeEZPaMWga5j7XEZ+UAGf2lAyT0HMM5A3xjfLOid7C+KZdpZX0e3s++j2fW+mUsuHHnRnkt79GWXkEJtn5mXIHMNh2OevY+W9Ead+Dt1vEsjSjKL03uu2/l+htuHeEmUIbqE21qCCYmYGWQ56MR0XGBjqfEDsa0wo9Tz+M8SzN5Xml14Xpfn4WltjcqMAAdBWg4hROPFkUBhNa/J9b39y81pqNxZh2LNGo5lydj3Hbb0q6FeUOLmX8Nb8rFZ/Jm/L7ObiO9kiYgtGq4BxnHVj5mvtTEza+xJP0v8A4JKg/wCY1PDfDlnom8DSSSYxzuST9u9YY0pur9WrLM+yXoi2EFEdXQzNYp5zZ+AP76vJjSgCgCgCgCgCgKZhmgMGeKtWmvJYLS0siI5AhMjOOrEDp6f+2qWVGOOJnJtJbEJeI9Z5C35tp5YDIVWclts7Ad9+hwaWRB4mouF3LdA4mv7ziL9E3ltapgEs8LMfm83ejjpoWU8RKVTJJGunGdRsV8g7fdUTWMqAKAKAKAKAKAqlH4UBzS44Q1WS9luEjsZEkDcolk3XJzn9k79vrNTUlY56w1RSb01LJOG9QUL+o6XlTtzTN7/N2Uenpt3pdEXhql9Irv8A6LOFOGNS07iX9IXS2qQu0hCQyE8uVbAAwNhmjkrWLKOHnGpme2pt331mEe5AT8T/ANVA3DGgCgCgCgCgCgK5PwoBU1ksuHPIcoNjEp7edAUy2OxA9mM/3C+X8fjQF9jbLDKjYXJJxyoF2wfLrQF8fi1uQ+7Ao+00AxoAoAoAoAoAoCEnUfXQGR1LRdQu70zw3MfsWReVHYgrhQMdDttn66mmkjJVo1JTunoLZOG9RB/l4c/6nb/ZX3MiH4ep1/7sOeFtLvdPmla8uEkWQgRohJAwG3Ow33HwqMmmXUKU4N5mOrTfVb1vLlX7AaiaBhQBQBQBQBQBQEH+b60AtneWONDGoKhBkkDbb6WFAeF7x2cANGe3Qbn6PFQDGw9oVjMoAbmPQY7H6TQEtN8V1fP5y4+AxQDCgCgCgCgCgCgIydB60B4/mL/lH3UB55SeYfTQHptv5v1/A0BDSP6Wf8Q/3mgGFAFAFAFAFAFAf//Z",https://www.amazon.com/Cetaphil-Complexion-Clearing-Cleanser-Peroxide-Sensitive/dp/B09Y3WVTPD,0.0,0.0,1.25
oedo amino acid bubble moisturizing cleanser,15.9,2024-05-09 22:46:49.690343,4.6,699,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIAFMAUwMBIgACEQEDEQH/xAAbAAACAwEBAQAAAAAAAAAAAAAAAwIEBQEGB//EADsQAAIBAgUCAwQGCAcAAAAAAAECAAMRBAUSITETQQZRYSJSk9FxgZGSscEUFkKhorLS4RUjMjNEU1X/xAAZAQADAQEBAAAAAAAAAAAAAAABAgQAAwX/xAAeEQEBAAIDAAMBAAAAAAAAAAAAAQIREiFRAzGxE//aAAwDAQACEQMRAD8A+nValthFhyJLQSd5Lpek7uNIJY76bmdt5mPKC24/dIOp4Cn7JgV6lTSLJz5mJPUbvLZpAbsLfTDSvaNNFtqoKR5Y/XJ9AeZMsbW3tadFvMQ9B2UtIDYSYXyjLLfkTt1HeDYl3aE7rT3hOwCOtc7CW6J10ibbgyutOPp2AcHgqbxaaJbEcSSoPKJpCzEDT/pW1vrjmNlimeZz3F1H8R4DBU3K09DtUVTa+x/plhqI9+p98zIep1/GzHnp0SB9n94VvFuQ0xd8xRRqKXNN7XHIvaV4ScYjztuV01DRX36vxG+ciaCedX4rfOY/64eHypcZnTKqQCwR7Anjt6GRPjLw7/6lL7rfKPqF7a5w6H9ut8ZvnFvhb/8AJxI9BVMyv1y8O9s0pfdb5Sxl/iLKMyxIw2BxyVqxBbQqsNh9Im1A7Wv0Gn/24n47fOEszkOoG63DUA2Akkb3thvBbXnSApB2A73kVXw4mmxBRybqNifL0+uQrtamfolfD5zl+KwFTEYeuKlOk/TbpjVv2tbznK+Ip1cKatNrqw2NrfjF1TbjxmWPr8YYxvJTb7FlEYLMcIpoVlySqUpuoatUc6EuW40EKbc+e/FyS7w82vxLjG9Kn8wmtjAyVazJlvULqRrDG7E7bjttcyvKdRFjbyumOKeaV6IRzkbov+Yq9VtIbTpQlSnZiG7XIAlPA5fmWX4OnhdWQMaSKiVGqHUPZ0XPsc3NxxuT5zfLBWJbK2BdVRjcnbbmwPH5SNSii2tlJIKqLBydrLtb04+qLqa+j7vv4x8VgszqJunhxDUC2JZtyFsrD2edQDeuhRwDe9l+ExtTMKWMrUcsp0UNQg4RmvcgLYDSAR7PJubAAG3LzdlPVykuRZFFyfZsb3v6/j3tNVEWmuldhcnc353MbHGbJlldfbt4SM7Ojk31hWsaZhsO8jUDMpAka+mUSBh2VQAB2EyM2dxTfcaNPFt7zSVKqIbtTA8yxH5TJzpKooM2pLehPyhlmy2XTyXhI6s6xDeaVD/EJ6ypUccUWbc8ETyXgy/+I1GPJokn7RPTV0LMbUWbc81LHtxvx8pVkkxdatVHGGc8ftCNvtxaUxR03C4UkFzzV9Oee94yiXQimuHYICfaNQGCDTzIEyRBkTeMRyEIQs19ennmMFdVUltpUQvUckrtI4gO46aDcyF6CdbxFk9IgV8XpIPHSc/lMvNvEOVYqkVw1dn2t/tMPxEt1cnwbYfpOgZudVt7zKbwsuolKtl9RDqF3VfwZlpU1azVVJKhQAOO89ScCPflbKMAMvpFVOonky4znfePfkyJPixL/Q0HLQ6NBeWnCtR+9hOdA95ueQ/zx8Rc4YcAn6IstS9wx/Q9JE0d4OWXrcMfCb0/cMIzpQh55ehwx8OG3EkPZ3HPnCER0V9bFjcyyhJUQhCFdbZYoTkIBhq8SY4hCZhIGEJhFhCEJiv/2Q==",https://www.amazon.com/ROUND-LAB-Sensitive-impurities-Moisturizing/dp/B08FMCMGN6,0.0,0.0,1.2
girlpal brightening cleanser,,2024-05-09 22:46:57.611007,,0,,,0.6,0.4,1.6
meiyanqiong shea buffer nourishing repair facial cleanser,,2024-05-09 22:47:02.130723,,0,,,1.75,0.375,2.125
liyalan turmeric gel cleanser,9.99,2024-05-06 13:11:01.705840,4.0,14,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIAFMAUwMBIgACEQEDEQH/xAAaAAACAwEBAAAAAAAAAAAAAAAABAECAwUH/8QANBAAAQMCAwUGBAYDAAAAAAAAAQACEQMhBBIxBTJBUXEiM2FygbETkZLBFFOhotHhI0NU/8QAGgEAAwEBAQEAAAAAAAAAAAAAAAECAwQFBv/EACARAQEAAgICAgMAAAAAAAAAAAABAgMRMQQSITIUQUL/2gAMAwEAAhEDEQA/APYH96/zFVFNgmGNEmTA4qz+9f5igICBTYJhjRJk2FyrAACAICApQDOG0KSNiWjgU5ht1ySxBLcRUHjKz2XiHEyhUBVwuO5LXpiXhDnSSVDTEnwUawOZAV434I/TGWm0cghXQu1Dmv71/mPuhS/vH+Y+6gkAEnhdAWQsTUqQ2GAZud46haMLpyvAzATbRLkG8No5I7QOXFHxaCnsNo5IbXtXpnm0j9Vlv+h49smvGkq4fdJtdCsHLz+Y04OtdZWoHPiGN8ZSjXkCJ1TOzjmxRPJh9wttXzlIm9OqhCF6CHNqTnqRrmMfNLSyQ2pnN90tc6bJt++/zH3VC0zma6D0kJWBT4ZLy92WWtOW+mnH0VqTTOcwC4XAm6BSmMzibytUSAxhtHJPbDZdRIHB32TmG0cltri1M9fso24+2Fh49uX8NxNgT0VxSqflu+krSjpbVbMZiP8AoZpaaXH5rk/El/pfsXFOr+U/6Sndl03NrVXOaW9kRI6pgCAATMcVpQ1cttfjzDLnlNy5bIQhdKSD993mPuoAVn77vMfdQAgBEK0IQG+G0KW2qJZT6lM4fQrDaY/xs6n2U5dHCFFNUmnjMpE55GTNx3SmGCqHHt1DfwUQ6eC1oaO6pdj3OIBYRbUkJmjunqtIlohCEw52KLgew8MOZ2vGx8OcLHPXkOFSnkLmi/KATFtVvimsIJe0Ohx1WAcwCBTOo4jlA48rJWyBDalYNmpWpCIJMgR2STw9fRMfGpgdqo0EC9/mqtoUiOzlOh58IU/haMQabIjLEcOSYOYfdKx2h3bPN9itqG6UvtRxZQaQJ7f8qc7JjbTnZB2Vpbme1sm0kCU3hyC3suDuhBCSbichuyfVatx8f6v3f0uSeTp57X610AtaO56rmfjzFqXzcuhg3mphmPIguvAW+vdhsvGNRcbG6EIWxOdjiW0nERvjUTxXPFVxLQcsEE7g1QhRezjqMYxt2tAJ1gKyEKoTahunqs9oNDsM7MJggoQp2fWnO3Hc0SoAEoQvncu3SkC5C7eEaG4amAIGUKUL1PA/bLY1QhC9Fk//2Q==",https://www.amazon.com/product-reviews/B0B2SD8SMP/ref=pd_ci_mcx_pspc_dp_d_2_r_1?pd_rd_w=XTp0Z&content-id=amzn1.sym.568f3b6b-5aad-4bfd-98ee-d827f03151e4&pf_rd_p=568f3b6b-5aad-4bfd-98ee-d827f03151e4&pf_rd_r=MFAB9HTZY1JB98A7ZTJP&pd_rd_wg=1g6Pk&pd_rd_r=7b971647-85c1-40df-ab01-108f262220f6&pd_rd_i=B0B2SD8SMP,0.0,0.0,1.0
melao facial cleanser exfoliating gel,,2024-05-09 22:47:13.539705,,0,,,0.0,0.0,1.5
bskm centella niacinamide cleanser,,2024-05-09 22:47:18.985139,,0,,,1.6,0.8,2.2
miurous men amino acid facial cleanser,,2024-05-09 22:47:25.566103,,0,,,1.5833333333333333,0.4166666666666667,2.0833333333333335
porefessional good cleanup pore-purifying foaming cleanser,30.0,2024-05-06 13:11:33.333198,4.8,15,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIAFMAUwMBEQACEQEDEQH/xAAbAAADAQEBAQEAAAAAAAAAAAADBQYEAgcBAP/EAEQQAAIBAwEFAgcLCgcAAAAAAAECAwAEEQUSEyExQVGxBhQiMmFzkQcjJXFygaGys+HwFRYzNkJTYpLB0SQ0NUNjdKP/xAAbAQACAgMBAAAAAAAAAAAAAAAABQMEAQIGB//EADcRAAEDAgMFBQQKAwAAAAAAAAEAAgMEERIhcQUxMjNBFCJRYbETcpGhBhUjNEJigcHR8BYkUv/aAAwDAQACEQMRAD8Ar7iIvrM+znhOzH2157WH7WTU+qeRctuiJJaiW9G+kEKOuQzDs6VpRwh5DHnDqsSPwi4zQbmz3IQLMkrNklUzlfjqxPSmK2F2K/gtWS4t4su9PhbeFgp4cOXWqEjXkWAKluPFfLFDHrNsD+/Uj20w2Yb1Meq0n5TtF6COVd4ki/McKT6KELCfNoQlWr8YH+KhC2+CjFtAtc9Aw9jEUITehCiZrhItXcIo/wAxljj+KvP3t/3y4n8f7p0OT+n7JjLrUHj+7lRhGkjYlbyipxjIGOFPJdqQ9pwOGQJzOdja2Q6Km2mfguOvRGW6ghQSTXBmcQyATDgTkg7INDK+KJoMj8TrO7wyvuyHmsGFzj3RYZZLoapau0ipMvlMoTynBbh1IGc5qw2ugcXAPFza2ZucvLqtDA8AXCSWMqyanbrKo2hMpUjtzXOUbS2vbb/pMJeSdFbjlXfpKsWpahFaARk7UrjyUB+n4qX7Q2jHRMucydwUsUJkPkledSdSVmiUc/0Wf60jZtqudmGD4H+VYMMQ6lKdRe93bby9jAPTcffUZ+kFU1+EsHzUnZIz1K3+BusWTwJpKyEXMQLYb/cySSV9vLp6af0FeKlveFnKrNCYz5KppioFBXbmLVppVHlJOWHzHNefTSGOrc8dHE/NO2NxRAeSP+VZypDRxnKsvEc8nnVn63ktbCOvzUXZW33o76pM0Bk3UWWyCMHrw7fRWv1xIXnuj+2/hApWjqUEavOGLGKIk9cHoSR19Nbja8gN8IR2VviVn08ltUtmOOM6n6ahoXY61jvEqWUWiI8ldO6xxM7HCqCSewCu8JsLpIoO6llv78ahbOJEfmM42QOX0V5/W1Jnmc5+/pp0TmOPCwAJ9Bdvui2OQ48eVWKatwR5qF8QvmpvVpor1WhScJL+znrVLE4ye0IyVmwIsFGTW2p2V/FdI6w+LuJBKHHTj+M04pqhjc2HNV3xOPFuXtGh6kmsaPZ6jD5lxEr4HQ9R8xyK6xpxNBSs5FTGoRE305TiN43fXnNY4CpkH5j6p7Fy26IKwsfOwB21VLx0W6KXiKlNoY5VpZ17oQmgYeaMjoakDx1QjadCVvrYuQMSrw+eruzn3rIwPEKOblO0VPrxI0LUCOfi0n1TXfzZRO0KSt4gvPdCkYSyJnyWGcekVwVUwEXTmM5p00ziwkwSKqbjZYIubqOv2OSaYxLDko1y5dtL4k5Y7Jq/TMAkUcriY16R7kkj/mBpwzykuB/7yV1MfAErO9frpiupXHYZmz7a87rheok94+pTyLlt0CHOSW2egqowZXW6Hit7oRbcnJXpUbx1QiWbbWpWx/5l76v7NFqqPUKOblO0VRrwzod+O22k+qa9An5TtCkrOIKG8H7J5JGYYGQQCTw9NcV7F08giZa+/PyTfEIxiKdiyItZI5AmOjbeAc8uPtq3Bs6wc2Zg96+We6xVd81yC0qbv9CnmkfcIka7WyqSSeUSBnA7alOz5C84AAL2AJzWfbtw55pB4QaPNDpa7WwW4OFVsniM8viqRsL4SHPtmslzXtwt6K69ydNnwD08H95cfbyV0ERuwJc7iK+3aZ1Gc9N6x+mvPK82qJB+Y+qdxctuiFKvHaxw61UYei3Q8it7IRYV47VaOPRC7s1xqNv65e+r2zTerj1Cjm5TtFWalj8m3ORw3TZ9legVHJdofRJo+MKLs72QaoY4dkBFYBc46VyVBiZPiZvsfRM6ixbY7k3haaS3ZblBKS3LaxxA9FWmsrHB0dQwSAnxtmB5eigvGCCw2XE810gykKsCST5YXhs/RypgJ6u+bRYnxtlb5W8Vpgi8f7dSHhVJdpp0Rkh3W7ZFB3u0H4EcsYHKtZcbogHttbzQyzXEgqz8ANj80rIoAFJlYADtkY1foyfYi/n6qKXjKw37Hx2cDh743fXBVoHaZPePqmsPLboghmHPjVXCFIu8Js7WyMVpneyENnY8jipA0IR7Bz47bhuPvq99XNntHa4tQo5uU7RVWpjOmXQHWF+416BPyXaH0SWPjC8zmR0vpNkkHaI4GuGe4tzBTki6f2ZkNmSXfPbtGqvt5i7jPxK1wtvuWXUHkEfCRwPlVehmeci4/FbOYB0UnrUkjoQ8jsBxwzE0yie47yq7gAvR/c+TZ8D9PB5gSfaNT2j5I/X1KpS8awX4/wAdcesbvrg637zJ7x9U2i5bdEHFVlIuyPehWgPeQuNmt0I1iMX1t61e+rmz/vcWoUc3LdoqvVH3el3cmM7MLnHzGvQJxeJ2hSWPjCiIkhvDvR5Ljgw51wMl2GxTsZreo3duceaKrEgIORSu5uY2Uq/KrMZ6hZuEh1OGIKXkclBxPppjFITkFG5g3lX3uezeMeCNnLs7OXm4Z5YlcV0tKzDC0JXMbvJSzVbmGG9uNpstvG8leJ51yrtlVVVUyFosMRzOvzV8VEccYBOdktfUWPmRqB2txpnF9HIgPtHk6f0qB1a78IXz8pXHZH/L99T/AOPUXn8VH2yXyXaakw/SRA/JOKrS/RuMj7J5GuakbWn8QTLSrmGa9twrYbeL5LcDzpbFsyppauMvFxcZjMKw6eOSJ1jnZVWtf6Nf/wDWk+qa7Sblu0StvEFA6QzCU9hWuCqE6YmpJa0fAJz2VQALnWAuhxsVPXauMkqwHpFX2RvbmWlYxDxSnVCTY+jOKuQnvIfwq/8Acx/Umw+XP9s9dZTcpqUSjvlJNXHwpeeubvqyo0um3mNmNGYMCCykAr+P6UIWLdXmANi6yOeJV4/jA9vxmhCYwbxkO9iKEHAywJIxzoQtmlL8K2Xr0+sKEK/1VS+l3ijm0Dgfymo5uW7RbM4go3TbURHJGWPP0UtptlQtGOUXPy+CsS1LibNyCfPcQWtkGncRqzbIJ6nH3GmrWhos0WVYklJJb+0mlEUcwaR+Q2Tx4Z7OysrCS6vbJLGwYcD2VWlpIZd4z8VIyV7dxVZ7ncTQ+CFnHjlJP9s9ZhaWMDT0Q913XSHVeGqXfrm76sKNYpI1dlyWHyXK91CFzuVIYlpOGce+N/ehCJEgXaALEZ/aYnoO2hC2aWPhSz9eneKEK81Lhpt16l/qmsHchSlt5wrKFzqE8yPOiTSKvkcA5GPM5dn3ntrCFOtc3DxZa4mJYYPvh/j9nIeysoW29ULGVGcAdTk+2hCrPAX9WLX5c32r0IX/2Q==",https://www.amazon.com/Benefit-Cosmetics-POREfessional-Cleanup-Cleanser/dp/B0BVW5D685,1.5,1.0,2.0
